Sector,ID,Title,Name,Detailed Description,URL,Average Annual Charge
Japan,JPNL.L,Multi Units France,Japan Topix,,,
Japan,JPHG.L,Amundi Luxembourg SA,JPX NIKKEI 400 UC ETF DLY GBP ACC H,,,
Japan,S400.L,Invesco Markets plc,JPX Nikkei 400 UCITS ETF,,,
Japan,XDNY.L,db X-trackers,JPX-Nikkei 400 UCITS ETF DR,,,
Japan,XDNG.L,db X-trackers,JPX-Nikkei 400 UCITS ETF DR GBP,,,
Japan,N4US.L,Invesco Markets plc,JPX-Nikkei 400 UCITS ETF USD Hedged,,,
Asia Pacific,HKOR.L,HSBC ETFs plc,Korea Capped UCITS ETF USD (GBP),,,
Europe,DES2.L,Legal & General UCITS ETF,L&G DAX 2X Short Fund,,,
FTSE 100,LUK2.L,Legal & General UCITS ETF,L&G FTSE 100 Leveraged (2X) Fund,,,
Europe,XLDX.L,Xtrackers,LevDAX Daily UCITS ETF,,,
Europe,XLDX.L,Xtrackers,LevDAX Daily UCITS ETF,,,
Europe,B39YP97.L,Lyxor International Asset Management,Leverage CAC 40,,,
Emerging Markets,FLXE.L,Franklin LibertyShares,LibertyQ Emerging Markets Equity UCITS ETF,,,
Europe,FLXD.L,Franklin Templeton,LibertyQ European Dividend UCITS ETF,,,
World,FLXX.L,Franklin Templeton,LibertyQ Global Dividend UCITS ETF,,,
North America,IPRV.L,iShares II plc,Listed Private Equity,,,
North America,LCUS.L,Multi Units Luxembourg,Lyxor Core Morn US DR UCITS ETF GBP,,,
Japan,LCJP.L,Multi Units Luxembourg,Lyxor Core MSCI Japan (DR) UCITS ETF,,,
World,LCWL.L,Multi Units Luxumbourg,LYXOR CORE MSCI WRLD DR UCITS ETF G,,,
Europe,B17Z877.L,Lyxor Master Fund,Lyxor ETF Leverage DAX,,,
North America,LSPX.L,Multi Units Luxembourg,Lyxor ETF S&P 500 B (USD)GBX,,,
North America,LCAN.L,Multi Units Luxembourg,LYXOR ETF S&P TSX 60 A GBP,,,
Japan,JPXG.L,Multi Units Luxembourg,Lyxor JPX Nikkei 400 (DR) Ucits ETF C EUR,,,
Japan,JPXX.L,Multi Units Luxembourg,Lyxor JPX Nikkei 400 DR Ucits ETF Daily Hedge C GB,,,
Japan,JPXU.L,Multi Units Luxembourg,Lyxor JPX Nikkei 400 DR Ucits ETF Daily Hedge C US,,,
Europe,B1MFTS0.L,Lyxor International Asset Management,Lyxor MSCI GREECE UCITS ETF - Dist,,,
Asia Pacific,INRL.L,Multi Units France,Lyxor MSCI India B,,,
North America,RSGL.L,Lyxor Asset Management,Lyxor Russell 1000 Growth UCITS ETF - Acc,,,
World,SGQP.L,Lyxor Asset Management Luxembourg,Lyxor SG Global Quality Income NTR UCITS ETF (GBP),,,
Europe,SGQE.L,Multi Units Luxembourg,Lyxor UCITS ETF SG European Quality Income,,,
North America,XLBP.L,Invesco Markets Plc,Materials S&P US Sel Sec UCITS ETF,,,
World,GOGB.L,VanEck Vectors,Morningstar Global Wide Moat UCITS ETF,,,
North America,MLPD.L,Invesco Markets plc,Morningstar US En Inf MLP UCITS ETF B USD,,,
North America,MOAT.L,VanEck Vectors ETF,Morningstar US Wide Moat UCITS ETF,,,
North America,MOGB.L,VanEck Vectors ETF,Morningstar US Wide Moat UCITS ETF GBP,,,
Asia Pacific,XAXJ.L,Xtrackers,MSCI AC Asia ex Japan Index UCITS ETF,Large and mid cap representation across 2 of 3 Developed Markets countries and 9 Emerging Markets countries in Asia.,https://www.msci.com/documents/10199/27561c18-c30e-4d12-9321-5c83094e0d65,
Asia Pacific,UC48.L,UBS (Irl) Fund Solutions plc,MSCI AC Asia Ex Japan SF UCITS ETF (USD) A-acc,Large and mid cap representation across 2 of 3 Developed Markets countries and 9 Emerging Markets countries in Asia.,https://www.msci.com/documents/10199/27561c18-c30e-4d12-9321-5c83094e0d65,
Asia Pacific,HMAF.L,HSBC ETFs plc,MSCI AC Far East ex-Japan,Large and mid cap representation across 2 developed markets countries (excluding Japan) and 7 Emerging Markets countries in the Far East,https://www.msci.com/documents/10199/8f3676e2-4044-46d9-bb41-bcbfe26b9d24,
Asia Pacific,IDFF.L,iShares plc,MSCI AC Far East ex-Japan (USD),Large and mid cap representation across 2 developed markets countries (excluding Japan) and 7 Emerging Markets countries in the Far East,https://www.msci.com/documents/10199/8f3676e2-4044-46d9-bb41-bcbfe26b9d24,
Asia Pacific,ISFE.L,iShares II plc,MSCI AC Far East ex-Japan SmallCap,Small cap representation across 2 Developed Markets countries* and 7 Emerging Markets countries* in the Far East,https://www.msci.com/documents/10199/ba10283c-0db0-41ba-86a5-b824a64b3730,
North America,AWSG.L,UBS (Irl) Fund Solutions plc,MSCI ACWI Socially Respon UCITS ETF Hedg To GBP,"Large and mid cap stocks across 23 Developed Markets (DM) countries and 27 Emerging Markets (EM) countries*. The index is a capitalization weighted index that provides exposure to companies with outstanding Environmental, Social and Governance (ESG) ratings and excludes companies whose products have negative social or environmental impacts",https://www.msci.com/documents/10199/673efff9-9732-4d93-aa72-ab3f54631532,
World,SSAC.L,iShares V plc,MSCI ACWI UCITS ETF USD Acc (GBP),"Large and mid cap representation across 23 Developed Markets (DM) and 27 Emerging Markets (EM) countries. With 2,986 constituents, the index covers approximately 85% of the global investable equity opportunity set.",https://www.msci.com/documents/10199/8d97d244-4685-4200-a24c-3e2942e3adeb,
Africa and Middle East,XMAF.L,Xtrackers,MSCI Africa TOP 50 Index UCITS ETF,Represents the performance of the largest 50 securities from the MSCI Emerging Frontier Market (EFM) Africa Index.,https://www.msci.com/eqb/methodology/meth_docs/MSCI_EFM_Africa_Top_50_Capped_Index_Methodology.pdf,
Asia Pacific,KURE.L,KraneShares ICAV,MSCI All China Health Care Index UCITS ETF US,"Large and mid cap healthcare companies across China H shares, B shares, Red chips and P chips.",https://www.msci.com/documents/10199/53d45d8e-28a9-4a1f-8f91-c9dfddaf10bc,
Asia Pacific,SAUS.L,iShares III plc,MSCI Australia (USD) GBX,Large and mid cap segments of the Australia market.,https://www.msci.com/documents/10199/ec1e0308-fb1a-42b7-baa3-756cab1a9de1,
Latin and South America,HMBR.L,HSBC ETFs Plc,MSCI Brazil (USD),Large and mid cap segments of the Brazilian market,https://www.msci.com/documents/10199/efef068e-d252-4e75-8142-2c8b8f441759,
Latin and South America,IDBZ.L,iShares plc,MSCI Brazil (USD) UCITS ETF (Dist),Large and mid cap segments of the Brazilian market,https://www.msci.com/documents/10199/efef068e-d252-4e75-8142-2c8b8f441759,
Latin and South America,XMBR.L,Xtrackers,MSCI Brazil Index UCITS ETF (DR),Large and mid cap segments of the Brazilian market,https://www.msci.com/documents/10199/efef068e-d252-4e75-8142-2c8b8f441759,
Latin and South America,IBZL.L,iShares plc,MSCI Brazil UCITS ETF (Dist),Large and mid cap segments of the Brazilian market,https://www.msci.com/documents/10199/efef068e-d252-4e75-8142-2c8b8f441759,
Latin and South America,BRZ.L,Amundi Investment Solutions,MSCI Brazil USD,Large and mid cap segments of the Brazilian market,https://www.msci.com/documents/10199/efef068e-d252-4e75-8142-2c8b8f441759,
North America,UB23.L,UBS ETF SICAV,MSCI Canada,Large and mid cap segments of the Canada market,https://www.msci.com/documents/10199/641d0cad-f861-4cb0-b9c5-7d37f0d33f55,
North America,XCAD.L,Xtrackers,MSCI Canada Index UCITS ETF (DR),Large and mid cap segments of the Canada market,https://www.msci.com/documents/10199/641d0cad-f861-4cb0-b9c5-7d37f0d33f55,
North America,UC87.L,UBS ETF SICAV,MSCI Canada UCITS ETF Hedged to GBP A Acc,Large and mid cap segments of the Canada market,https://www.msci.com/documents/10199/641d0cad-f861-4cb0-b9c5-7d37f0d33f55,
North America,HCAN.L,HSBC ETFs plc,MSCI Canada UCITS ETF USD (GBP),Large and mid cap segments of the Canada market,https://www.msci.com/documents/10199/641d0cad-f861-4cb0-b9c5-7d37f0d33f55,
